isco08_4d,description_4d,isco08_3d,description_3d,isco08_2d,description_2d,isco08_1d,description_1d
1111,Legislators,111,Legislators and senior officials,11,"Chief executives, senior officials and legislators",1,Managers
1112,Senior government officials,111,Legislators and senior officials,11,"Chief executives, senior officials and legislators",1,Managers
1113,Traditional chiefs and heads of village,111,Legislators and senior officials,11,"Chief executives, senior officials and legislators",1,Managers
1114,Senior officials of special-interest organizations,111,Legislators and senior officials,11,"Chief executives, senior officials and legislators",1,Managers
1120,Managing directors and chief executives,112,Managing directors and chief executives,11,"Chief executives, senior officials and legislators",1,Managers
1211,Finance managers,121,Business services and administration managers,12,Administrative and commercial managers,1,Managers
1212,Human resource managers,121,Business services and administration managers,12,Administrative and commercial managers,1,Managers
1213,Policy and planning managers,121,Business services and administration managers,12,Administrative and commercial managers,1,Managers
1219,Business services and administration managers not elsewhere classified,121,Business services and administration managers,12,Administrative and commercial managers,1,Managers
1221,Sales and marketing managers,122,"Sales, marketing and development managers",12,Administrative and commercial managers,1,Managers
1222,Advertising and public relations managers,122,"Sales, marketing and development managers",12,Administrative and commercial managers,1,Managers
1223,Research and development managers,122,"Sales, marketing and development managers",12,Administrative and commercial managers,1,Managers
1311,Agricultural and forestry production managers,131,"Production managers in agriculture, forestry and fisheries",13,Production and specialised services managers,1,Managers
1312,Aquaculture and fisheries production managers,131,"Production managers in agriculture, forestry and fisheries",13,Production and specialised services managers,1,Managers
1321,Manufacturing managers,132,"Manufacturing, mining, construction, and distribution managers",13,Production and specialised services managers,1,Managers
1322,Mining managers,132,"Manufacturing, mining, construction, and distribution managers",13,Production and specialised services managers,1,Managers
1323,Construction managers,132,"Manufacturing, mining, construction, and distribution managers",13,Production and specialised services managers,1,Managers
1324,"Supply, distribution and related managers",132,"Manufacturing, mining, construction, and distribution managers",13,Production and specialised services managers,1,Managers
1330,Information and communications technology service managers,133,Information and communications technology service managers,13,Production and specialised services managers,1,Managers
1341,Child care services managers,134,Professional services managers,13,Production and specialised services managers,1,Managers
1342,Health services managers,134,Professional services managers,13,Production and specialised services managers,1,Managers
1343,Aged care services managers,134,Professional services managers,13,Production and specialised services managers,1,Managers
1344,Social welfare managers,134,Professional services managers,13,Production and specialised services managers,1,Managers
1345,Education managers,134,Professional services managers,13,Production and specialised services managers,1,Managers
1346,Financial and insurance services branch managers,134,Professional services managers,13,Production and specialised services managers,1,Managers
1349,Professional services managers not elsewhere classified,134,Professional services managers,13,Production and specialised services managers,1,Managers
1411,Hotel managers,141,Hotel and restaurant managers,14,"Hospitality, retail and other services managers",1,Managers
1412,Restaurant managers,141,Hotel and restaurant managers,14,"Hospitality, retail and other services managers",1,Managers
1420,Retail and wholesale trade managers,142,Retail and wholesale trade managers,14,"Hospitality, retail and other services managers",1,Managers
1431,"Sports, recreation and cultural centre managers",143,Other services managers,14,"Hospitality, retail and other services managers",1,Managers
1439,Services managers not elsewhere classified,143,Other services managers,14,"Hospitality, retail and other services managers",1,Managers
2111,Physicists and astronomers,211,Physical and earth science professionals,21,Science and engineering professionals,2,Professionals
2112,Meteorologists,211,Physical and earth science professionals,21,Science and engineering professionals,2,Professionals
2113,Chemists,211,Physical and earth science professionals,21,Science and engineering professionals,2,Professionals
2114,Geologists and geophysicists,211,Physical and earth science professionals,21,Science and engineering professionals,2,Professionals
2120,"Mathematicians, actuaries and statisticians",212,"Mathematicians, actuaries and statisticians",21,Science and engineering professionals,2,Professionals
2131,"Biologists, botanists, zoologists and related professionals",213,Life science professionals,21,Science and engineering professionals,2,Professionals
2132,"Farming, forestry and fisheries advisers",213,Life science professionals,21,Science and engineering professionals,2,Professionals
2133,Environmental protection professionals,213,Life science professionals,21,Science and engineering professionals,2,Professionals
2141,Industrial and production engineers,214,Engineering professionals (excluding electrotechnology),21,Science and engineering professionals,2,Professionals
2142,Civil engineers,214,Engineering professionals (excluding electrotechnology),21,Science and engineering professionals,2,Professionals
2143,Environmental engineers,214,Engineering professionals (excluding electrotechnology),21,Science and engineering professionals,2,Professionals
2144,Mechanical engineers,214,Engineering professionals (excluding electrotechnology),21,Science and engineering professionals,2,Professionals
2145,Chemical engineers,214,Engineering professionals (excluding electrotechnology),21,Science and engineering professionals,2,Professionals
2146,"Mining engineers, metallurgists and related professionals",214,Engineering professionals (excluding electrotechnology),21,Science and engineering professionals,2,Professionals
2149,Engineering professionals not elsewhere classified,214,Engineering professionals (excluding electrotechnology),21,Science and engineering professionals,2,Professionals
2151,Electrical engineers,215,Electrotechnology engineers,21,Science and engineering professionals,2,Professionals
2152,Electronics engineers,215,Electrotechnology engineers,21,Science and engineering professionals,2,Professionals
2153,Telecommunications engineers,215,Electrotechnology engineers,21,Science and engineering professionals,2,Professionals
2161,Building architects,216,"Architects, planners, surveyors and designers",21,Science and engineering professionals,2,Professionals
2162,Landscape architects,216,"Architects, planners, surveyors and designers",21,Science and engineering professionals,2,Professionals
2163,Product and garment designers,216,"Architects, planners, surveyors and designers",21,Science and engineering professionals,2,Professionals
2164,Town and traffic planners,216,"Architects, planners, surveyors and designers",21,Science and engineering professionals,2,Professionals
2165,Cartographers and surveyors,216,"Architects, planners, surveyors and designers",21,Science and engineering professionals,2,Professionals
2166,Graphic and multimedia designers,216,"Architects, planners, surveyors and designers",21,Science and engineering professionals,2,Professionals
2211,Generalist medical practitioners,221,Medical doctors,22,Health professionals,2,Professionals
2212,Specialist medical practitioners,221,Medical doctors,22,Health professionals,2,Professionals
2221,Nursing professionals,222,Nursing and midwifery professionals,22,Health professionals,2,Professionals
2222,Midwifery professionals,222,Nursing and midwifery professionals,22,Health professionals,2,Professionals
2230,Traditional and complementary medicine professionals,223,Traditional and complementary medicine professionals,22,Health professionals,2,Professionals
2240,Paramedical practitioners,224,Paramedical practitioners,22,Health professionals,2,Professionals
2250,Veterinarians,225,Veterinarians,22,Health professionals,2,Professionals
2261,Dentists,226,Other health professionals,22,Health professionals,2,Professionals
2262,Pharmacists,226,Other health professionals,22,Health professionals,2,Professionals
2263,Environmental and occupational health and hygiene professionals,226,Other health professionals,22,Health professionals,2,Professionals
2264,Physiotherapists,226,Other health professionals,22,Health professionals,2,Professionals
2265,Dieticians and nutritionists,226,Other health professionals,22,Health professionals,2,Professionals
2266,Audiologists and speech therapists,226,Other health professionals,22,Health professionals,2,Professionals
2267,Optometrists and ophthalmic opticians,226,Other health professionals,22,Health professionals,2,Professionals
2269,Health professionals not elsewhere classified,226,Other health professionals,22,Health professionals,2,Professionals
2310,University and higher education teachers,231,University and higher education teachers,23,Teaching professionals,2,Professionals
2320,Vocational education teachers,232,Vocational education teachers,23,Teaching professionals,2,Professionals
2330,Secondary education teachers,233,Secondary education teachers,23,Teaching professionals,2,Professionals
2341,Primary school teachers,234,Primary school and early childhood teachers,23,Teaching professionals,2,Professionals
2342,Early childhood educators,234,Primary school and early childhood teachers,23,Teaching professionals,2,Professionals
2351,Education methods specialists,235,Other teaching professionals,23,Teaching professionals,2,Professionals
2352,Special needs teachers,235,Other teaching professionals,23,Teaching professionals,2,Professionals
2353,Other language teachers,235,Other teaching professionals,23,Teaching professionals,2,Professionals
2354,Other music teachers,235,Other teaching professionals,23,Teaching professionals,2,Professionals
2355,Other arts teachers,235,Other teaching professionals,23,Teaching professionals,2,Professionals
2356,Information technology trainers,235,Other teaching professionals,23,Teaching professionals,2,Professionals
2359,Teaching professionals not elsewhere classified,235,Other teaching professionals,23,Teaching professionals,2,Professionals
2411,Accountants,241,Finance professionals,24,Business and administration professionals,2,Professionals
2412,Financial and investment advisers,241,Finance professionals,24,Business and administration professionals,2,Professionals
2413,Financial analysts,241,Finance professionals,24,Business and administration professionals,2,Professionals
2421,Management and organization analysts,242,Administration professionals,24,Business and administration professionals,2,Professionals
2422,Policy administration professionals,242,Administration professionals,24,Business and administration professionals,2,Professionals
2423,Personnel and careers professionals,242,Administration professionals,24,Business and administration professionals,2,Professionals
2424,Training and staff development professionals,242,Administration professionals,24,Business and administration professionals,2,Professionals
2431,Advertising and marketing professionals,243,"Sales, marketing and public relations professionals",24,Business and administration professionals,2,Professionals
2432,Public relations professionals,243,"Sales, marketing and public relations professionals",24,Business and administration professionals,2,Professionals
2433,Technical and medical sales professionals (excluding ICT),243,"Sales, marketing and public relations professionals",24,Business and administration professionals,2,Professionals
2434,Information and communications technology sales professionals,243,"Sales, marketing and public relations professionals",24,Business and administration professionals,2,Professionals
2511,Systems analysts,251,Software and applications developers and analysts,25,Information and communications technology professionals,2,Professionals
2512,Software developers,251,Software and applications developers and analysts,25,Information and communications technology professionals,2,Professionals
2513,Web and multimedia developers,251,Software and applications developers and analysts,25,Information and communications technology professionals,2,Professionals
2514,Applications programmers,251,Software and applications developers and analysts,25,Information and communications technology professionals,2,Professionals
2519,Software and applications developers and analysts not elsewhere classified,251,Software and applications developers and analysts,25,Information and communications technology professionals,2,Professionals
2521,Database designers and administrators,252,Database and network professionals,25,Information and communications technology professionals,2,Professionals
2522,Systems administrators,252,Database and network professionals,25,Information and communications technology professionals,2,Professionals
2523,Computer network professionals,252,Database and network professionals,25,Information and communications technology professionals,2,Professionals
2529,Database and network professionals not elsewhere classified,252,Database and network professionals,25,Information and communications technology professionals,2,Professionals
2611,Lawyers,261,Legal professionals,26,"Legal, social and cultural professionals",2,Professionals
2612,Judges,261,Legal professionals,26,"Legal, social and cultural professionals",2,Professionals
2619,Legal professionals not elsewhere classified,261,Legal professionals,26,"Legal, social and cultural professionals",2,Professionals
2621,Archivists and curators,262,"Librarians, archivists and curators",26,"Legal, social and cultural professionals",2,Professionals
2622,Librarians and related information professionals,262,"Librarians, archivists and curators",26,"Legal, social and cultural professionals",2,Professionals
2631,Economists,263,Social and religious professionals,26,"Legal, social and cultural professionals",2,Professionals
2632,"Sociologists, anthropologists and related professionals",263,Social and religious professionals,26,"Legal, social and cultural professionals",2,Professionals
2633,"Philosophers, historians and political scientists",263,Social and religious professionals,26,"Legal, social and cultural professionals",2,Professionals
2634,Psychologists,263,Social and religious professionals,26,"Legal, social and cultural professionals",2,Professionals
2635,Social work and counselling professionals,263,Social and religious professionals,26,"Legal, social and cultural professionals",2,Professionals
2636,Religious professionals,263,Social and religious professionals,26,"Legal, social and cultural professionals",2,Professionals
2641,Authors and related writers,264,"Authors, journalists and linguists",26,"Legal, social and cultural professionals",2,Professionals
2642,Journalists,264,"Authors, journalists and linguists",26,"Legal, social and cultural professionals",2,Professionals
2643,"Translators, interpreters and other linguists",264,"Authors, journalists and linguists",26,"Legal, social and cultural professionals",2,Professionals
2651,Visual artists,265,Creative and performing artists,26,"Legal, social and cultural professionals",2,Professionals
2652,"Musicians, singers and composers",265,Creative and performing artists,26,"Legal, social and cultural professionals",2,Professionals
